"","Date","Corn_Cal_Spread","Corn_Cal_Spread_Perc","Soy_Cal_Spread","Soy_Cal_Spread_Perc"
"109",2000-06-07,-8.75,-0.0398179749715586,-2.25,-0.00430622009569378
"110",2000-06-08,-8.75,-0.0399543378995434,-1.75,-0.00335570469798658
"111",2000-06-09,-9.25,-0.0421892816419612,-1.5,-0.0028804608737398
"112",2000-06-12,-9,-0.0432172869147659,1.75,0.00342801175318315
"113",2000-06-13,-9,-0.0433212996389892,4,0.00783545543584721
"114",2000-06-14,-8.75,-0.043050430504305,9.5,0.0186000978952521
"115",2000-06-15,-8.5,-0.0413122721749696,9.25,0.0181372549019608
"116",2000-06-16,-8.75,-0.0422195416164053,3.5,0.00693412580485389
"117",2000-06-19,-8.25,-0.0401459854014599,7,0.0138613861386139
"118",2000-06-20,-8.25,-0.0407911001236094,9.5,0.0189620758483034
"119",2000-06-21,-8.25,-0.0405405405405405,10.5,0.0207305034550839
"120",2000-06-22,-8.5,-0.0419235511713933,9.75,0.0194319880418535
"121",2000-06-23,-8.25,-0.0413533834586466,8,0.0160642570281124
"122",2000-06-26,-8.5,-0.0437580437580438,6.5,0.013013013013013
"123",2000-06-27,-8.5,-0.0432020330368488,3.75,0.00754147812971342
"124",2000-06-28,-8.25,-0.0428015564202335,-1,-0.00204708290685773
"125",2000-06-29,-9,-0.0462130937098845,-2,-0.00407539480387163
"126",2000-06-30,-8.25,-0.044,-5.25,-0.0109947643979058
"127",2000-07-03,-7.5,-0.0409276944065484,-4,-0.00853788687299893
"128",2000-07-05,-7.25,-0.039136302294197,-2.25,-0.00476190476190476
"129",2000-07-06,-6.75,-0.0371389270976616,1.5,0.00318640467339352
"130",2000-07-07,-7,-0.0380952380952381,0.25,0.000527983104540655
"131",2000-07-10,-6.5,-0.03601108033241,-0.25,-0.000528262017960909
"132",2000-07-11,-6.75,-0.0378681626928471,1.75,0.00371352785145889
"133",2000-07-12,-6.75,-0.0377094972067039,2.25,0.0047418335089568
"134",2000-07-13,-6.25,-0.0347705146036161,0.25,0.000535618639528656
"135",2000-07-14,-7.5,-0.0410958904109589,11.75,0.0254329004329004
"136",2000-07-17,-8,-0.0446304044630404,13,0.0284153005464481
"137",2000-07-18,-7.75,-0.0428769017980636,9.25,0.0203073545554336
"138",2000-07-19,-7.75,-0.0426409903713893,3.75,0.00828729281767956
"139",2000-07-20,-8,-0.043010752688172,1.25,0.00274122807017544
"140",2000-07-21,-8,-0.0426098535286285,-0.5,-0.00108636610537751
"141",2000-07-24,-7.75,-0.0420054200542005,0.75,0.00164113785557987
"142",2000-07-25,-7.75,-0.0424076607387141,2.5,0.00552181115405853
"143",2000-07-26,-7.5,-0.0415512465373961,1,0.00221852468108708
"144",2000-07-27,-7.75,-0.0428176795580111,-0.75,-0.00165745856353591
"145",2000-07-28,-7.75,-0.042995839112344,0.25,0.000558035714285714
"146",2000-07-31,-8.25,-0.0457697642163662,1.5,0.00336322869955157
"147",2000-08-01,-8,-0.0445062586926286,0.5,0.00113122171945701
"148",2000-08-02,-8.25,-0.0457063711911357,-1.5,-0.00336700336700337
"149",2000-08-03,-8,-0.0444444444444444,-2.5,-0.00568504832291074
"150",2000-08-04,-8.25,-0.0461538461538462,-3.75,-0.0085812356979405
"151",2000-08-07,-8,-0.0450070323488045,-3.25,-0.00748847926267281
"152",2000-08-08,-8,-0.0445682451253482,-2,-0.00452232899943471
"153",2000-08-09,-8,-0.0448807854137447,-2.5,-0.00567536889897843
"154",2000-08-10,-8,-0.0451339915373766,-1.75,-0.00392596747055524
"155",2000-08-11,-8,-0.0457796852646638,-0.5,-0.00110619469026549
"156",2000-08-14,-8,-0.0455192034139403,-9,-0.0197368421052632
"157",2000-08-15,-8,-0.0455192034139403,-9.5,-0.0207650273224044
"158",2000-08-16,-8.25,-0.046218487394958,-9.5,-0.0204301075268817
"159",2000-08-17,-8,-0.0448179271708683,-9,-0.0195652173913043
"160",2000-08-18,-8,-0.0451339915373766,-8.75,-0.0190943807965085
"161",2000-08-21,-8,-0.0453900709219858,-9.25,-0.020021645021645
"162",2000-08-22,-8.5,-0.0484330484330484,-9,-0.019629225736096
"163",2000-08-23,-7.75,-0.0442225392296719,-9.5,-0.0206746463547334
"164",2000-08-24,-8.25,-0.046875,-9.25,-0.0200324851109908
"165",2000-08-25,-8.5,-0.0481586402266289,-9.25,-0.0200324851109908
"166",2000-08-28,-8,-0.0445682451253482,-10,-0.0212652844231792
"167",2000-08-29,-8,-0.0434192672998643,-11,-0.022715539494063
"168",2000-08-30,-8,-0.0440771349862259,-10.5,-0.0217955371043072
"169",2000-08-31,-9,-0.0489795918367347,-10.25,-0.0207175341081354
"170",2000-09-01,-8,-0.0438356164383562,-10.75,-0.02181633688483
"171",2000-09-05,-7.75,-0.0416107382550336,-10.75,-0.0214143426294821
"172",2000-09-06,-7.75,-0.0426409903713893,-10,-0.020607934054611
"173",2000-09-07,-7.5,-0.0412654745529574,-10,-0.0208333333333333
"174",2000-09-08,-7.75,-0.0420624151967436,-10,-0.0202020202020202
"175",2000-09-11,-7.5,-0.040595399188092,-10.25,-0.0206757438224912
"176",2000-09-12,-7.5,-0.0410958904109589,-10,-0.0201816347124117
"177",2000-09-13,-7,-0.038781163434903,-10.75,-0.0219948849104859
"178",2000-09-14,-4,-0.0215343203230148,-10,-0.0203355363497712
"179",2000-09-15,-3.75,-0.0203804347826087,-10.5,-0.0217278841179514
"180",2000-09-18,-4,-0.0215633423180593,-10.25,-0.0209825997952917
"181",2000-09-19,-3.75,-0.0204359673024523,-10.25,-0.0211886304909561
"182",2000-09-20,-4.25,-0.0231292517006803,-10.25,-0.021025641025641
"183",2000-09-21,-4,-0.0214765100671141,-10,-0.0203355363497712
"184",2000-09-22,-4.25,-0.0223978919631094,-10.5,-0.0211693548387097
"185",2000-09-25,-4.25,-0.0224867724867725,-10.25,-0.0207700101317123
"186",2000-09-26,-4,-0.020997375328084,-10,-0.020253164556962
"187",2000-09-27,-4,-0.020997375328084,-10.75,-0.021684316691881
"188",2000-09-28,-4.25,-0.0221354166666667,-10.25,-0.0205720020070246
"189",2000-09-29,-4.5,-0.0232858990944373,-10.5,-0.0214067278287462
"190",2000-10-02,3,0.0153649167733675,-10.5,-0.0214504596527068
"191",2000-10-03,-4,-0.0200501253132832,-10.5,-0.0214723926380368
"192",2000-10-04,-3.75,-0.0187032418952618,-10.75,-0.022107969151671
"193",2000-10-05,-4,-0.0200501253132832,-10.5,-0.0216494845360825
"194",2000-10-06,-4,-0.0200752823086575,-10.75,-0.0221649484536082
"195",2000-10-09,-4,-0.020253164556962,-10.75,-0.0222567287784679
"196",2000-10-10,-3.75,-0.0187734668335419,-10.5,-0.0216160576428204
"197",2000-10-11,-4,-0.0199501246882793,-11,-0.0230125523012552
"198",2000-10-12,-4,-0.0196078431372549,-11.25,-0.0237216657880865
"199",2000-10-13,-4,-0.0196078431372549,-11,-0.0236051502145923
"200",2000-10-16,-4,-0.0197287299630086,-11.25,-0.0241935483870968
"201",2000-10-17,-4,-0.0196560196560197,-11.5,-0.0245595301655099
"202",2000-10-18,-4.25,-0.021039603960396,-11.5,-0.0245857830037413
"203",2000-10-19,-3.75,-0.0184729064039409,-10.75,-0.0227995758218452
"204",2000-10-20,-4,-0.0198757763975155,-11,-0.0234666666666667
"205",2000-10-23,-4.25,-0.021356783919598,-10.5,-0.0226781857451404
"206",2000-10-24,-4.5,-0.0225563909774436,-10,-0.0213789417423838
"207",2000-10-25,-4.25,-0.021356783919598,-9.25,-0.0198072805139186
"208",2000-10-26,-4.25,-0.0214646464646465,-9.25,-0.0200542005420054
"209",2000-10-27,-4.5,-0.0229299363057325,-10,-0.0219058050383352
"210",2000-10-30,-4.5,-0.0229591836734694,-10.75,-0.0235745614035088
"211",2000-10-31,-3.75,-0.0185414091470952,-10.5,-0.0228384991843393
"212",2000-11-01,-3.75,-0.0185414091470952,-10.75,-0.0232306861156132
"213",2000-11-02,-3.25,-0.0155688622754491,-10,-0.0211304807184363
"214",2000-11-03,-3.25,-0.0154761904761905,-11,-0.02324352879028
"215",2000-11-06,-4,-0.0190930787589499,-10.5,-0.022140221402214
"216",2000-11-07,-3.5,-0.0165680473372781,-10.75,-0.0226315789473684
"217",2000-11-08,-2.5,-0.0117096018735363,-10,-0.0210970464135021
"218",2000-11-09,-2.5,-0.0118343195266272,-9.5,-0.0203317281968967
"219",2000-11-10,-2,-0.00952380952380952,-9.25,-0.0199676200755532
"220",2000-11-13,-2.5,-0.0119760479041916,-7.5,-0.016
"221",2000-11-14,-4.25,-0.0203592814371257,-8,-0.0167451596023025
"222",2000-11-15,-4.5,-0.0216867469879518,-9,-0.0186915887850467
"223",2000-11-16,-4.5,-0.0215568862275449,-9,-0.018848167539267
"224",2000-11-17,-4.25,-0.0201183431952663,-9.25,-0.0189646335212711
"225",2000-11-20,-4.25,-0.0201421800947867,-9,-0.0183392766174223
"226",2000-11-21,-4.25,-0.0201660735468565,-9,-0.0184049079754601
"227",2000-11-22,-4.25,-0.0202140309155767,-9,-0.0183299389002037
"228",2000-11-24,-4.25,-0.0201183431952663,-9,-0.017973040439341
